id|congresista_id|tipo_investigacion_id|descripcion|activo|usercreated|usermodifed|created_at|updated_at
105|349|3|"Expulsada de Colombia Democrática por presuntos vínculos con paramilitares (2FEB06). No la aceptaron en la lista del Partido de la U, Cambio Radical, Convergencia Ciudadana y Colombia Viva. Fue condena da a 45 meses de cárcel por sus vínculos con grupos paramilitares (16JUL08).
http://www.caracol.com.co/noticias/judicial/condenan-a-la-ex-congresista-rocio-arias-por-parapolitica/20080716/nota/633528.aspx
Visto: enero 30/13
Quedó libre después de cumplir 28 meses de prisión (18OCT09)
http://www.eltiempo.com/archivo/documento/CMS-6384708
Visto: enero 30/13"|TRUE|NA|NA|2010-02-22T22:00:49Z|2013-01-30T15:50:31Z
102|390|21|"Con la Convención Liberal de 2005 volvió al Partido. Sin embargo, fue Expulsado del Partido Liberal (17ENE06), por estar en archivos judiciales en EEUU (concierto para delinquir agravado, enriquecimiento ilícito, narcotráfico y supuestos vínculos con paramilitares con fines políticos). Se unió a Colombia Viva.
http://www.caracol.com.co/noticias/actualidad/nuevos-vinculados-a-la-parapolitica/20070926/nota/485141.aspx
Visto: enero 30/13"|TRUE|NA|NA|2010-02-22T21:48:20Z|2013-01-30T16:02:56Z
103|1030|21|"Expulsado de Cambio Radical (17ENE06) por presuntos vínculos con paramilitares.
http://www.elcolombiano.com/BancoConocimiento/L/los_senadores_involucrados_en_un_escandalo__politico_con_paras_salieron_del_partido_de_la_u_1/los_senadores_involucrados_en_un_escandalo__politico_con_paras_salieron_del_partido_de_la_u_1.asp
Visto: enero 30/13"|TRUE|NA|NA|2010-02-22T21:58:07Z|2013-01-30T16:00:44Z
100|713|21|"Hizo parte de Colombia Viva hasta agosto de 2005, cuando se unió a la U. De este último fue expulsado (17ENE06), por presuntos vínculos con paras, así que retomó Colombia Viva.
http://www.elcolombiano.com/BancoConocimiento/L/los_senadores_involucrados_en_un_escandalo__politico_con_paras_salieron_del_partido_de_la_u_1/los_senadores_involucrados_en_un_escandalo__politico_con_paras_salieron_del_partido_de_la_u_1.asp
Visto: enero 30/13"|TRUE|NA|NA|2010-02-22T21:26:51Z|2013-01-30T16:09:06Z
94|360|19|"Absuelto por la Corte Suprema (09DIC09). Estuvo DETENIDO e investigado en el proceso de la PARAPOLÍTICA (25FEB08).

http://www.verdadabierta.com/parapolitica/2056-corte-absuelve-a-pompilio-avendano-por-duda
Visto: enero 30/13"|TRUE|NA|NA|2010-02-22T21:08:39Z|2013-01-30T21:19:58Z
93|862|24|"Corte Suprema de Justicia ARCHIVÓ la investigación contra RIVERA GUILLERMO, quien había sido LLAMADO A INDAGATORIA por la Corte Suprema de Justicia dentro del proceso de la PARAPOLITICA (10DIC2007). 

http://www.verdadabierta.com/despojo-de-tierras/4233-corte-archivo-investigacion-en-contra-de-guillermo-rivera
Visto: enero 30/13"|TRUE|NA|NA|2010-02-22T21:07:41Z|2013-01-30T21:21:15Z
88|1283|2|"DETENIDO e INVESTIGADO en el proceso de la PARAPOLÍTICA (11MAY09).  RENUNCIÓ a su investidura (26JUN09).

http://www.verdadabierta.com/parapolitica/eje-cafetero/1533-corte-suprema-de-justicia-abre-investigacion-preliminar-a-nuevo-representante-de-caldas-la-patria
Visto: enero 31/13"|TRUE|NA|NA|2010-02-22T21:00:18Z|2013-01-31T15:34:31Z
73|1281|2|"DETENIDO (31MAR08) e investigado en el proceso de la PARAPOLÍTICA (25FEB08).

http://www.eltiempo.com/archivo/documento/CMS-4055247
Visto: enero 31/13"|TRUE|NA|NA|2010-02-17T21:32:07Z|2013-01-31T16:52:08Z
85|186|1|"LLAMADO A INDAGATORIA PRELIMINAR por la Corte Suprema de Justicia dentro del proceso de la PARAPOLITICA (22ABR08). 

http://www.elespectador.com/noticias/judicial/articulo-otro-liberal-vinculado-parapolitica
Visto: enero 31/13"|TRUE|NA|NA|2010-02-22T20:54:21Z|2013-01-31T15:45:53Z
43|814|3|"CONDENADO a seis años de prisión y $923 millonesen el proceso de la PARAPOLÍTICA (17MAY08).

http://www.elespectador.com/noticias/judicial/articulo-mauricio-pimiento-72-anos-parapolitica
Visto: enero 31/13"|TRUE|NA|NA|2010-02-16T21:33:11Z|2013-01-31T19:56:51Z
