id,titulo,enlace,descripcion,seccion_id,orden
10,El Senado en Twitter,http://twitter.com/senadogovco,Siga la cuenta del Senado de la República en Twitter,7,0
1,Bancadas / Ley de bancadas,http://www.congresovisible.org/democracia/reformas/bancadas/,"La Ley de Bancadas también introdujo transformaciones estructurales en el sistema de partidos colombiano, conozca más.",2,NA
11,El Senado en Facebook,http://www.facebook.com/senadogovco?v=wall,Conozca el perfil del Senado de la República en Facebook,7,1
12,Reglamentación de las votaciones,http://congresovisible.org/agora/post/reglamentacion-votaciones-nominales/1246/,Si desea conocer la reglamentación sobre las votaciones en el Congreso lo invitamos a revisar los artículos 122 al 138 del Reglamento del Congreso.,3,1
13,Tipos de comisiones,http://www.senado.gov.co/comisiones,Conozca que tipo de Comisiones funcionan en el Congreso Colombiano,7,2
2,Reforma Política de 2009,http://www.congresovisible.org/democracia/reformas/2009/,"El acto legislativo 01 de 2009 cambio aspectos como la financiación de campañas, la personería jurídica, las sanciones, el cambio de partido y las consultas al interior de los partidos, conozca más.",2,NA
14,Excepciones al voto nominal,http://www.secretariasenado.gov.co/senado/basedoc/ley/2011/ley_1431_2011.html,"Conozca la ley 1431 de 2011, la cual establece excepciones al voto nominal en Colombia",3,2
3,Reforma Política de 2009,http://www.congresovisible.org/democracia/reformas/2009/,"El acto legislativo 01 de 2009 estableció el voto nominal obligatorio, conozca más.",3,NA
8,Un clásico para entender el proceso legislativo,http://www.youtube.com/watch?v=3eeOwPoayOk,¡Conozca cómo es el proceso legislativo en los Estados Unidos! Es divertido y ayuda entender el proceso legislativo (versión en inglés).,5,1
4,Sobre los congresistas,http://www.congresovisible.org/democracia/congreso/,"Conozca los requisitos para ser congresista, sus derechos y deberes.",4,1
5,Funciones del Congreso,http://www.congresovisible.org/democracia/congreso/funciones/,"Además de su función legislativa, el Congreso cumple con otras funciones.",4,2
15,Reforma Política de 2011,http://www.congresovisible.org/democracia/reformas/2011/,"La Ley 1475 desarrolla aspectos específicos del Acto Legislativo 01 de 2009 como las sanciones y la distribución de la financiación electoral. Introduce acciones afirmativas en favor de las juventudes, mujeres y minorías étnicas.",2,2
6,Presidente del Senado,http://www.congresovisible.org/congresistas/perfil/efrain-jose-cepeda-sarabia/20/,"Conozca el perfil de Efraín Cepeda Sarabia, presidente del Senado.",4,3
9,Presidente de la Cámara,http://www.congresovisible.org/congresistas/perfil/rodrigo-lara-restrepo/53/,"Conozca el perfil de Rodrigo Lara Restrepo, presidente de la Cámara de Representantes.",4,3
